home_team,away_team,home_position,away_position,goles_primer_tiempo_self_home,goles_segundo_tiempo_self_home,cambios_resultado_home,amarillas_total_home,rojas_total_home,goals_self_home,goals_rival_home,avg_posesion_self_home,avg_posesion_rival_home,tiros_al_arcototales_home,fouls_total_home,avg_corners_self_home,avg_corners_rival_home,avg_saves_self_home,avg_saves_rival_home,goles_primer_tiempo_self_away,goles_segundo_tiempo_self_away,cambios_resultado_away,amarillas_total_away,rojas_total_away,goals_self_away,goals_rival_away,avg_posesion_self_away,avg_posesion_rival_away,tiros_al_arcototales_away,fouls_total_away,avg_corners_self_away,avg_corners_rival_away,avg_saves_self_away,avg_saves_rival_away
Fulham,Chelsea,8,10,1.28,1.89,2.11,3.78,0.28,1.67,1.5,47.17,52.83,9.89,19.5,5.06,5.06,3.89,3.0,1.0,1.29,1.59,3.65,0.24,1.18,1.12,58.65,41.35,8.29,22.0,5.06,5.06,3.53,2.47
Aston Villa,Leeds,11,13,1.22,1.33,1.44,4.11,0.11,1.11,1.44,47.44,52.56,8.39,23.72,4.22,5.17,2.89,3.0,1.53,1.76,2.24,4.12,0.24,1.47,1.82,49.94,50.06,9.18,24.24,5.29,5.12,3.47,2.47
Brentford,Bournemouth,9,16,1.61,1.61,1.56,3.11,0.11,1.67,1.56,42.72,57.28,10.56,19.22,4.56,6.0,4.5,2.89,1.67,1.5,1.67,3.0,0.0,1.0,2.17,39.56,60.44,8.5,21.44,3.83,6.89,2.94,2.39
Brighton,Liverpool,6,7,1.65,1.71,1.65,4.12,0.06,1.88,1.47,56.59,43.41,9.29,20.88,5.94,4.06,2.35,3.65,1.82,1.47,2.06,2.35,0.12,2.0,1.29,61.94,38.06,10.94,17.53,7.29,3.24,3.29,4.41
Manchester Utd,Manchester City,4,2,1.41,1.35,1.35,3.82,0.0,1.59,1.18,53.41,46.59,9.59,19.18,4.47,5.65,2.94,3.88,1.65,1.94,1.65,3.29,0.18,2.65,0.94,66.35,33.65,8.65,17.65,6.82,2.18,1.65,3.41
Nottingham,Leicester,15,14,1.11,1.5,1.5,4.17,0.0,0.72,1.89,39.0,61.0,8.33,23.11,3.17,6.61,3.44,2.28,1.61,1.56,1.78,2.89,0.06,1.44,1.72,51.22,48.78,8.72,20.44,3.78,6.06,2.78,2.94
Wolves,West Ham,19,17,1.0,1.11,1.61,4.0,0.17,0.61,1.5,48.72,51.28,7.72,22.06,5.0,5.06,2.94,2.67,1.06,1.11,1.72,3.22,0.0,0.83,1.33,45.33,54.67,8.17,18.5,5.28,4.67,2.94,3.06
Everton,Southampton,18,20,0.89,1.22,1.44,4.5,0.0,0.78,1.33,44.5,55.5,8.94,20.72,4.39,6.89,4.11,2.72,1.28,1.39,1.83,3.28,0.0,0.83,1.83,44.28,55.72,7.61,20.56,4.33,5.44,2.28,2.72
Newcastle,Fulham,3,8,1.0,1.39,1.11,3.94,0.06,1.78,0.61,49.89,50.11,8.56,21.67,6.56,4.33,2.94,3.28,1.28,1.89,2.11,3.78,0.28,1.67,1.5,47.17,52.83,9.89,19.5,5.06,5.06,3.89,3.0
Chelsea,Crystal Palace,10,12,1.0,1.29,1.59,3.65,0.24,1.18,1.12,58.65,41.35,8.29,22.0,5.06,5.06,3.53,2.47,1.06,1.41,1.71,4.06,0.18,1.0,1.47,46.71,53.29,8.06,25.71,4.41,4.41,2.94,2.71
Tottenham,Arsenal,5,1,1.28,2.17,2.17,4.17,0.22,2.06,1.39,51.61,48.39,10.17,19.06,6.17,4.56,3.0,3.72,1.18,2.0,1.82,3.94,0.06,2.35,0.82,57.82,42.18,8.47,22.0,5.47,4.06,2.0,3.41
Crystal Palace,Manchester Utd,12,4,1.06,1.41,1.71,4.06,0.18,1.0,1.47,46.71,53.29,8.06,25.71,4.41,4.41,2.94,2.71,1.41,1.35,1.35,3.82,0.0,1.59,1.18,53.41,46.59,9.59,19.18,4.47,5.65,2.94,3.88
Manchester City,Tottenham,2,5,1.65,1.94,1.65,3.29,0.18,2.65,0.94,66.35,33.65,8.65,17.65,6.82,2.18,1.65,3.41,1.28,2.17,2.17,4.17,0.22,2.06,1.39,51.61,48.39,10.17,19.06,6.17,4.56,3.0,3.72
Liverpool,Chelsea,7,10,1.82,1.47,2.06,2.35,0.12,2.0,1.29,61.94,38.06,10.94,17.53,7.29,3.24,3.29,4.41,1.0,1.29,1.59,3.65,0.24,1.18,1.12,58.65,41.35,8.29,22.0,5.06,5.06,3.53,2.47
West Ham,Everton,17,18,1.06,1.11,1.72,3.22,0.0,0.83,1.33,45.33,54.67,8.17,18.5,5.28,4.67,2.94,3.06,0.89,1.22,1.44,4.5,0.0,0.78,1.33,44.5,55.5,8.94,20.72,4.39,6.89,4.11,2.72
Leicester,Brighton,14,6,1.61,1.56,1.78,2.89,0.06,1.44,1.72,51.22,48.78,8.72,20.44,3.78,6.06,2.78,2.94,1.65,1.71,1.65,4.12,0.06,1.88,1.47,56.59,43.41,9.29,20.88,5.94,4.06,2.35,3.65
Crystal Palace,Newcastle,12,3,1.06,1.41,1.71,4.06,0.18,1.0,1.47,46.71,53.29,8.06,25.71,4.41,4.41,2.94,2.71,1.0,1.39,1.11,3.94,0.06,1.78,0.61,49.89,50.11,8.56,21.67,6.56,4.33,2.94,3.28
Southampton,Aston Villa,20,11,1.28,1.39,1.83,3.28,0.0,0.83,1.83,44.28,55.72,7.61,20.56,4.33,5.44,2.28,2.72,1.22,1.33,1.44,4.11,0.11,1.11,1.44,47.44,52.56,8.39,23.72,4.22,5.17,2.89,3.0
Bournemouth,Nottingham,16,15,1.67,1.5,1.67,3.0,0.0,1.0,2.17,39.56,60.44,8.5,21.44,3.83,6.89,2.94,2.39,1.11,1.5,1.5,4.17,0.0,0.72,1.89,39.0,61.0,8.33,23.11,3.17,6.61,3.44,2.28
Manchester City,Wolves,2,19,1.65,1.94,1.65,3.29,0.18,2.65,0.94,66.35,33.65,8.65,17.65,6.82,2.18,1.65,3.41,1.0,1.11,1.61,4.0,0.17,0.61,1.5,48.72,51.28,7.72,22.06,5.0,5.06,2.94,2.67
Leeds,Brentford,13,9,1.53,1.76,2.24,4.12,0.24,1.47,1.82,49.94,50.06,9.18,24.24,5.29,5.12,3.47,2.47,1.61,1.61,1.56,3.11,0.11,1.67,1.56,42.72,57.28,10.56,19.22,4.56,6.0,4.5,2.89
Arsenal,Manchester Utd,1,4,1.18,2.0,1.82,3.94,0.06,2.35,0.82,57.82,42.18,8.47,22.0,5.47,4.06,2.0,3.41,1.41,1.35,1.35,3.82,0.0,1.59,1.18,53.41,46.59,9.59,19.18,4.47,5.65,2.94,3.88
Fulham,Tottenham,8,5,1.28,1.89,2.11,3.78,0.28,1.67,1.5,47.17,52.83,9.89,19.5,5.06,5.06,3.89,3.0,1.28,2.17,2.17,4.17,0.22,2.06,1.39,51.61,48.39,10.17,19.06,6.17,4.56,3.0,3.72
Chelsea,Fulham,10,8,1.0,1.29,1.59,3.65,0.24,1.18,1.12,58.65,41.35,8.29,22.0,5.06,5.06,3.53,2.47,1.28,1.89,2.11,3.78,0.28,1.67,1.5,47.17,52.83,9.89,19.5,5.06,5.06,3.89,3.0
Newcastle,West Ham,3,17,1.0,1.39,1.11,3.94,0.06,1.78,0.61,49.89,50.11,8.56,21.67,6.56,4.33,2.94,3.28,1.06,1.11,1.72,3.22,0.0,0.83,1.33,45.33,54.67,8.17,18.5,5.28,4.67,2.94,3.06
Aston Villa,Leicester,11,14,1.22,1.33,1.44,4.11,0.11,1.11,1.44,47.44,52.56,8.39,23.72,4.22,5.17,2.89,3.0,1.61,1.56,1.78,2.89,0.06,1.44,1.72,51.22,48.78,8.72,20.44,3.78,6.06,2.78,2.94
Brentford,Southampton,9,20,1.61,1.61,1.56,3.11,0.11,1.67,1.56,42.72,57.28,10.56,19.22,4.56,6.0,4.5,2.89,1.28,1.39,1.83,3.28,0.0,0.83,1.83,44.28,55.72,7.61,20.56,4.33,5.44,2.28,2.72
Brighton,Bournemouth,6,16,1.65,1.71,1.65,4.12,0.06,1.88,1.47,56.59,43.41,9.29,20.88,5.94,4.06,2.35,3.65,1.67,1.5,1.67,3.0,0.0,1.0,2.17,39.56,60.44,8.5,21.44,3.83,6.89,2.94,2.39
Manchester Utd,Crystal Palace,4,12,1.41,1.35,1.35,3.82,0.0,1.59,1.18,53.41,46.59,9.59,19.18,4.47,5.65,2.94,3.88,1.06,1.41,1.71,4.06,0.18,1.0,1.47,46.71,53.29,8.06,25.71,4.41,4.41,2.94,2.71
Wolves,Liverpool,19,7,1.0,1.11,1.61,4.0,0.17,0.61,1.5,48.72,51.28,7.72,22.06,5.0,5.06,2.94,2.67,1.82,1.47,2.06,2.35,0.12,2.0,1.29,61.94,38.06,10.94,17.53,7.29,3.24,3.29,4.41
Everton,Arsenal,18,1,0.89,1.22,1.44,4.5,0.0,0.78,1.33,44.5,55.5,8.94,20.72,4.39,6.89,4.11,2.72,1.18,2.0,1.82,3.94,0.06,2.35,0.82,57.82,42.18,8.47,22.0,5.47,4.06,2.0,3.41
Nottingham,Leeds,15,13,1.11,1.5,1.5,4.17,0.0,0.72,1.89,39.0,61.0,8.33,23.11,3.17,6.61,3.44,2.28,1.53,1.76,2.24,4.12,0.24,1.47,1.82,49.94,50.06,9.18,24.24,5.29,5.12,3.47,2.47
Tottenham,Manchester City,5,2,1.28,2.17,2.17,4.17,0.22,2.06,1.39,51.61,48.39,10.17,19.06,6.17,4.56,3.0,3.72,1.65,1.94,1.65,3.29,0.18,2.65,0.94,66.35,33.65,8.65,17.65,6.82,2.18,1.65,3.41
Manchester Utd,Leeds,4,13,1.41,1.35,1.35,3.82,0.0,1.59,1.18,53.41,46.59,9.59,19.18,4.47,5.65,2.94,3.88,1.53,1.76,2.24,4.12,0.24,1.47,1.82,49.94,50.06,9.18,24.24,5.29,5.12,3.47,2.47
Bournemouth,Newcastle,16,3,1.67,1.5,1.67,3.0,0.0,1.0,2.17,39.56,60.44,8.5,21.44,3.83,6.89,2.94,2.39,1.0,1.39,1.11,3.94,0.06,1.78,0.61,49.89,50.11,8.56,21.67,6.56,4.33,2.94,3.28
Crystal Palace,Brighton,12,6,1.06,1.41,1.71,4.06,0.18,1.0,1.47,46.71,53.29,8.06,25.71,4.41,4.41,2.94,2.71,1.65,1.71,1.65,4.12,0.06,1.88,1.47,56.59,43.41,9.29,20.88,5.94,4.06,2.35,3.65
Arsenal,Brentford,1,9,1.18,2.0,1.82,3.94,0.06,2.35,0.82,57.82,42.18,8.47,22.0,5.47,4.06,2.0,3.41,1.61,1.61,1.56,3.11,0.11,1.67,1.56,42.72,57.28,10.56,19.22,4.56,6.0,4.5,2.89
